Top,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
var_1,23,24,23,24,26,28.75,28.81,33,32,34,32,42,42,39,37,39,35,30,28,26,24,23,22,25,25,24,26,33,32,34,37,36,35,36.42,37.59,38.91,25,23,22,24,21,23,24,21,23,25,28,32,34,33,35.87,35.11,35.52,34.49,34.6,35.11,35.6,33.48,31.74,33.51,31.85,31.04,30.59,32.68,33.03,31.61,29.04,28.5,28.65,26.45,26.41,27.29,26.18,24.02,25.46,23.8,21.79,21.15,
var_2,22,23,23,24,26,27.29,28.19,33,32,34,32,42,42,39,37,39,35,30,28,26,24,23,22,25,25,24,26,33,32,34,37,36,35,33.01,31.25,30.07,25,23,22,23.05,24.89,23.6,24,21,23,25,28,32,34,37,39.59,39.25,41,41.8,40.98,39.81,38.21,39.56,37.04,35.17,36.01,38.88,36.03,35.31,34.52,36.86,38.9,40.15,41.8,42.69,43.39,41.87,43,42.76,44.3,44.37,44.31,45.9,
var_3,20,22,23,24,26,27.4,28.83,33,32,34,32,42,42,39,37,39,35,30,28,26,24,23,22,25,25,24,26,33,32,34,37,36,35,35.77,33.23,31.06,25,23,22,22,24.78,25.18,24,21,23,25,28,32,34,33,32.88,33.95,34.22,33.48,34.65,33.91,32.54,30.66,29,30.38,32.19,32.09,30.86,31.77,31.08,31.47,29.22,31.19,31.38,31.22,33.15,35.44,34.2,34.67,33.49,34.81,36.98,37.57,
